Game Name,Hours Played,Platforms
9 Years of Shadows,0.0,gog
A Plague Tale: Innocence,0.0,"epic, gog"
ABZU,0.0,epic
ARK: Survival Evolved,0.2,"epic, steam, xboxone"
ARK: Survival of the Fittest,0.0,steam
Age of Empires III: Definitive Edition,0.0,"steam, xboxone"
Age of Mythology: Extended Edition,12.6,steam
Agony UNRATED,0.0,gog
Alan Wake,0.6,epic
Alex Kidd in Miracle World DX,0.0,epic
Alien: Isolation,0.0,epic
Along the Edge,0.0,steam
Ambition: A Minuet in Power,0.0,gog
Amnesia: Rebirth,0.0,"epic, xboxone"
Among Us,0.0,"epic, xboxone"
Ancient Enemy,0.0,epic
Anomaly Agent,0.7,steam
Another World: 20th Anniversary Edition,0.0,gog
Arcade Paradise,0.0,"gog, xboxone"
Arcadegeddon,0.0,epic
Are You Smarter Than A 5th Grader,0.0,epic
Ashworld,0.0,gog
Astrea Six Sided Oracles,0.0,epic
Baldur's Gate II: Enhanced Edition,0.0,gog
Baldur's Gate III,136.9,steam
Baldur's Gate: Enhanced Edition,0.0,gog
Battlefield™ 2042,0.0,"steam, xboxone"
Being a DIK - Season 1,0.0,gog
Berserk Boy,0.0,gog
Beyond Blue,0.0,epic
BioShock 2 Remastered,0.0,"epic, gog, steam"
BioShock Remastered,0.0,"epic, gog, steam"
BioShock® 2,0.0,"gog, steam"
BioShock™,0.0,"gog, steam"
Bioshock Infinite: Complete Collection,0.0,"epic, gog, steam"
Black Desert,0.6,"steam, xboxone"
Black Mesa,1.6,steam
Black Squad,114.7,steam
Blackout Z: Slaughterhouse Edition,0.0,steam
Blade of Darkness,0.0,gog
Blair Witch,0.0,epic
Blazing Sails,0.0,epic
Blood Omen: Legacy of Kain,0.0,gog
Blood West,0.0,"epic, gog"
Bloodstained: Ritual of the Night,0.0,"epic, xboxone"
Bloons TD 6,0.0,epic
Borderlands 3,0.0,epic
Botany Manor,0.0,"epic, xboxone"
Boxes: Lost Fragments,0.0,epic
Bright Memory: Infinite,1.5,steam
Brothers - A Tale of Two Sons,0.0,epic
Bully: Scholarship Edition,0.0,steam
Bus Simulator 21 Next Stop,0.0,epic
Business Tour,8.2,steam
Butcher,0.0,gog
CYGNI - All Guns Blazing,0.0,epic
Call of Juarez,0.0,gog
Call of Juarez: Bound in Blood,0.0,gog
Call of Juarez: Gunslinger,0.0,gog
Captain Blood,0.0,gog
Card Shark,0.0,epic
Cassette Beasts,0.0,"epic, xboxone"
Cat Quest,0.0,epic
Cat Quest II,0.0,gog
Chasm: The Rift,0.0,gog
Chess Ultra,0.0,epic
